1000,1111,0004,1
1001,2222,0005,2
1002,3333,0006,3
1003,4444,0007,4
1004,5555,0008,5
1005,6666,0009,6
1006,7777,0010,7
1007,8888,0011,8
1008,9999,0012,9
1009,11110,0013,10
1010,12221,0014,11
1011,13332,0015,12
1012,14443,0016,13
1013,15554,0017,14
1014,16665,0018,15
1015,17776,0019,16
1016,18887,0020,17
1017,19998,0021,18
1018,21109,0022,19
1019,22220,0023,20
1020,23331,0024,21
1021,24442,0025,22
1022,25553,0026,23
1023,26664,0027,24
1024,27775,0028,25
1025,28886,0029,26
1026,29997,0030,27
1027,31108,0031,28
1028,32219,0032,29
1029,33330,0033,30
1030,34441,0034,31
1031,35552,0035,32
1032,36663,0036,33
1033,37774,0037,34
1034,38885,0038,35
1035,39996,0039,36
1036,41107,0040,37
1037,42218,0041,38
1038,43329,0042,39
1039,44440,0043,40
1040,45551,0044,41
1041,46662,0045,42
1042,47773,0046,43
1043,48884,0047,44
1044,49995,0048,45
1045,51106,0049,46
1046,52217,0050,47
1047,53328,0051,48
1048,54439,0052,49
1049,55550,0053,50
1050,56661,0054,51
1051,57772,0055,52
1052,58883,0056,53
1053,59994,0057,54
1054,61105,0058,55
1055,62216,0059,56
1056,63327,0060,57
1057,64438,0061,58
1058,65549,0062,59
1059,66660,0063,60
1060,67771,0064,61
1061,68882,0065,62
1062,69993,0066,63
1063,71104,0067,64
1064,72215,0068,65
1065,73326,0069,66
1066,74437,0070,67
1067,75548,0071,68
1068,76659,0072,69
1069,77770,0073,70
1070,78881,0074,71
1071,79992,0075,72
1072,81103,0076,73
1073,82214,0077,74
1074,83325,0078,75
1075,84436,0079,76
1076,85547,0080,77
1077,86658,0081,78
1078,87769,0082,79
1079,88880,0083,80
1080,89991,0084,81
1081,91102,0085,82
1082,92213,0086,83
1083,93324,0087,84
1084,94435,0088,85
1085,95546,0089,86
1086,96657,0090,87
1087,97768,0091,88
1088,98879,0092,89
1089,99990,0093,90
1090,101101,0094,91
1091,102212,0095,92
1092,103323,0096,93
1093,104434,0097,94
1094,105545,0098,95
1095,106656,0099,96
1096,107767,0100,97
1097,108878,0101,98
1098,109989,0102,99
1099,111100,0103,100
