1,1111,1004,1
2,2222,1005,2
3,3333,1006,3
4,4444,1007,4
5,5555,1008,5
6,6666,1009,6
7,7777,1010,7
8,8888,1011,8
9,9999,1012,9
10,11110,1013,10
11,12221,1014,11
12,13332,1015,12
13,14443,1016,13
14,15554,1017,14
15,16665,1018,15
16,17776,1019,16
17,18887,1020,17
18,19998,1021,18
19,21109,1022,19
20,22220,1023,20
21,23331,1024,21
22,24442,1025,22
23,25553,1026,23
24,26664,1027,24
25,27775,1028,25
26,28886,1029,26
27,29997,1030,27
28,31108,1031,28
29,32219,1032,29
30,33330,1033,30
31,34441,1034,31
32,35552,1035,32
33,36663,1036,33
34,37774,1037,34
35,38885,1038,35
36,39996,1039,36
37,41107,1040,37
38,42218,1041,38
39,43329,1042,39
40,44440,1043,40
41,45551,1044,41
42,46662,1045,42
43,47773,1046,43
44,48884,1047,44
45,49995,1048,45
46,51106,1049,46
47,52217,1050,47
48,53328,1051,48
49,54439,1052,49
50,55550,1053,50
51,56661,1054,51
52,57772,1055,52
53,58883,1056,53
54,59994,1057,54
55,61105,1058,55
56,62216,1059,56
57,63327,1060,57
58,64438,1061,58
59,65549,1062,59
60,66660,1063,60
61,67771,1064,61
62,68882,1065,62
63,69993,1066,63
64,71104,1067,64
65,72215,1068,65
66,73326,1069,66
67,74437,1070,67
68,75548,1071,68
69,76659,1072,69
70,77770,1073,70
71,78881,1074,71
72,79992,1075,72
73,81103,1076,73
74,82214,1077,74
75,83325,1078,75
76,84436,1079,76
77,85547,1080,77
78,86658,1081,78
79,87769,1082,79
80,88880,1083,80
81,89991,1084,81
82,91102,1085,82
83,92213,1086,83
84,93324,1087,84
85,94435,1088,85
86,95546,1089,86
87,96657,1090,87
88,97768,1091,88
89,98879,1092,89
90,99990,1093,90
91,101101,1094,91
92,102212,1095,92
93,103323,1096,93
94,104434,1097,94
95,105545,1098,95
96,106656,1099,96
97,107767,1100,97
98,108878,1101,98
99,109989,1102,99
100,111100,1103,100
